2000	0.8334	0.01	0.5
2800	0.8334	0.01	0.5
3600	0.8334	0.01	0.5
4400	0.8334	0.01	0.5
5200	0.8334	0.01	0.5
6000	0.8334	0.01	0.5
2000	1.667	0.01	0.5
2800	1.667	0.01	0.5
3600	1.667	0.01	0.5
4400	1.667	0.01	0.5
5200	1.667	0.01	0.5
6000	1.667	0.01	0.5
2000	2.5	0.01	0.5
2800	2.5	0.01	0.5
3600	2.5	0.01	0.5
4400	2.5	0.01	0.5
5200	2.5	0.01	0.5
6000	2.5	0.01	0.5
2000	3.334	0.01	0.5
2800	3.334	0.01	0.5
3600	3.334	0.01	0.5
4400	3.334	0.01	0.5
5200	3.334	0.01	0.5
6000	3.334	0.01	0.5
2000	4.17	0.01	0.5
2800	4.17	0.01	0.5
3600	4.17	0.01	0.5
4400	4.17	0.01	0.5
5200	4.17	0.01	0.5
6000	4.17	0.01	0.5
2000	5	0.01	0.5
2800	5	0.01	0.5
3600	5	0.01	0.5
4400	5	0.01	0.5
5200	5	0.01	0.5
6000	5	0.01	0.5
2000	0.8334	0.016	0.5
2800	0.8334	0.016	0.5
3600	0.8334	0.016	0.5
4400	0.8334	0.016	0.5
5200	0.8334	0.016	0.5
6000	0.8334	0.016	0.5
2000	1.667	0.016	0.5
2800	1.667	0.016	0.5
3600	1.667	0.016	0.5
4400	1.667	0.016	0.5
5200	1.667	0.016	0.5
6000	1.667	0.016	0.5
2000	2.5	0.016	0.5
2800	2.5	0.016	0.5
3600	2.5	0.016	0.5
4400	2.5	0.016	0.5
5200	2.5	0.016	0.5
6000	2.5	0.016	0.5
2000	3.334	0.016	0.5
2800	3.334	0.016	0.5
3600	3.334	0.016	0.5
4400	3.334	0.016	0.5
5200	3.334	0.016	0.5
6000	3.334	0.016	0.5
2000	4.17	0.016	0.5
2800	4.17	0.016	0.5
3600	4.17	0.016	0.5
4400	4.17	0.016	0.5
5200	4.17	0.016	0.5
6000	4.17	0.016	0.5
2000	5	0.016	0.5
2800	5	0.016	0.5
3600	5	0.016	0.5
4400	5	0.016	0.5
5200	5	0.016	0.5
6000	5	0.016	0.5
2000	0.8334	0.022	0.5
2800	0.8334	0.022	0.5
3600	0.8334	0.022	0.5
4400	0.8334	0.022	0.5
5200	0.8334	0.022	0.5
6000	0.8334	0.022	0.5
2000	1.667	0.022	0.5
2800	1.667	0.022	0.5
3600	1.667	0.022	0.5
4400	1.667	0.022	0.5
5200	1.667	0.022	0.5
6000	1.667	0.022	0.5
2000	2.5	0.022	0.5
2800	2.5	0.022	0.5
3600	2.5	0.022	0.5
4400	2.5	0.022	0.5
5200	2.5	0.022	0.5
6000	2.5	0.022	0.5
2000	3.334	0.022	0.5
2800	3.334	0.022	0.5
3600	3.334	0.022	0.5
4400	3.334	0.022	0.5
5200	3.334	0.022	0.5
6000	3.334	0.022	0.5
2000	4.17	0.022	0.5
2800	4.17	0.022	0.5
3600	4.17	0.022	0.5
4400	4.17	0.022	0.5
5200	4.17	0.022	0.5
6000	4.17	0.022	0.5
2000	5	0.022	0.5
2800	5	0.022	0.5
3600	5	0.022	0.5
4400	5	0.022	0.5
5200	5	0.022	0.5
6000	5	0.022	0.5
2000	0.8334	0.028	0.5
2800	0.8334	0.028	0.5
3600	0.8334	0.028	0.5
4400	0.8334	0.028	0.5
5200	0.8334	0.028	0.5
6000	0.8334	0.028	0.5
2000	1.667	0.028	0.5
2800	1.667	0.028	0.5
3600	1.667	0.028	0.5
4400	1.667	0.028	0.5
5200	1.667	0.028	0.5
6000	1.667	0.028	0.5
2000	2.5	0.028	0.5
2800	2.5	0.028	0.5
3600	2.5	0.028	0.5
4400	2.5	0.028	0.5
5200	2.5	0.028	0.5
6000	2.5	0.028	0.5
2000	3.334	0.028	0.5
2800	3.334	0.028	0.5
3600	3.334	0.028	0.5
4400	3.334	0.028	0.5
5200	3.334	0.028	0.5
6000	3.334	0.028	0.5
2000	4.17	0.028	0.5
2800	4.17	0.028	0.5
3600	4.17	0.028	0.5
4400	4.17	0.028	0.5
5200	4.17	0.028	0.5
6000	4.17	0.028	0.5
2000	5	0.028	0.5
2800	5	0.028	0.5
3600	5	0.028	0.5
4400	5	0.028	0.5
5200	5	0.028	0.5
6000	5	0.028	0.5
2000	0.8334	0.034	0.5
2800	0.8334	0.034	0.5
3600	0.8334	0.034	0.5
4400	0.8334	0.034	0.5
5200	0.8334	0.034	0.5
6000	0.8334	0.034	0.5
2000	1.667	0.034	0.5
2800	1.667	0.034	0.5
3600	1.667	0.034	0.5
4400	1.667	0.034	0.5
5200	1.667	0.034	0.5
6000	1.667	0.034	0.5
2000	2.5	0.034	0.5
2800	2.5	0.034	0.5
3600	2.5	0.034	0.5
4400	2.5	0.034	0.5
5200	2.5	0.034	0.5
6000	2.5	0.034	0.5
2000	3.334	0.034	0.5
2800	3.334	0.034	0.5
3600	3.334	0.034	0.5
4400	3.334	0.034	0.5
5200	3.334	0.034	0.5
6000	3.334	0.034	0.5
2000	4.17	0.034	0.5
2800	4.17	0.034	0.5
3600	4.17	0.034	0.5
4400	4.17	0.034	0.5
5200	4.17	0.034	0.5
6000	4.17	0.034	0.5
2000	5	0.034	0.5
2800	5	0.034	0.5
3600	5	0.034	0.5
4400	5	0.034	0.5
5200	5	0.034	0.5
6000	5	0.034	0.5
2000	0.8334	0.04	0.5
2800	0.8334	0.04	0.5
3600	0.8334	0.04	0.5
4400	0.8334	0.04	0.5
5200	0.8334	0.04	0.5
6000	0.8334	0.04	0.5
2000	1.667	0.04	0.5
2800	1.667	0.04	0.5
3600	1.667	0.04	0.5
4400	1.667	0.04	0.5
5200	1.667	0.04	0.5
6000	1.667	0.04	0.5
2000	2.5	0.04	0.5
2800	2.5	0.04	0.5
3600	2.5	0.04	0.5
4400	2.5	0.04	0.5
5200	2.5	0.04	0.5
6000	2.5	0.04	0.5
2000	3.334	0.04	0.5
2800	3.334	0.04	0.5
3600	3.334	0.04	0.5
4400	3.334	0.04	0.5
5200	3.334	0.04	0.5
6000	3.334	0.04	0.5
2000	4.17	0.04	0.5
2800	4.17	0.04	0.5
3600	4.17	0.04	0.5
4400	4.17	0.04	0.5
5200	4.17	0.04	0.5
6000	4.17	0.04	0.5
2000	5	0.04	0.5
2800	5	0.04	0.5
3600	5	0.04	0.5
4400	5	0.04	0.5
5200	5	0.04	0.5
6000	5	0.04	0.5
2000	0.8334	0.01	1.2
2800	0.8334	0.01	1.2
3600	0.8334	0.01	1.2
4400	0.8334	0.01	1.2
5200	0.8334	0.01	1.2
6000	0.8334	0.01	1.2
2000	1.667	0.01	1.2
2800	1.667	0.01	1.2
3600	1.667	0.01	1.2
4400	1.667	0.01	1.2
5200	1.667	0.01	1.2
6000	1.667	0.01	1.2
2000	2.5	0.01	1.2
2800	2.5	0.01	1.2
3600	2.5	0.01	1.2
4400	2.5	0.01	1.2
5200	2.5	0.01	1.2
6000	2.5	0.01	1.2
2000	3.334	0.01	1.2
2800	3.334	0.01	1.2
3600	3.334	0.01	1.2
4400	3.334	0.01	1.2
5200	3.334	0.01	1.2
6000	3.334	0.01	1.2
2000	4.17	0.01	1.2
2800	4.17	0.01	1.2
3600	4.17	0.01	1.2
4400	4.17	0.01	1.2
5200	4.17	0.01	1.2
6000	4.17	0.01	1.2
2000	5	0.01	1.2
2800	5	0.01	1.2
3600	5	0.01	1.2
4400	5	0.01	1.2
5200	5	0.01	1.2
6000	5	0.01	1.2
2000	0.8334	0.016	1.2
2800	0.8334	0.016	1.2
3600	0.8334	0.016	1.2
4400	0.8334	0.016	1.2
5200	0.8334	0.016	1.2
6000	0.8334	0.016	1.2
2000	1.667	0.016	1.2
2800	1.667	0.016	1.2
3600	1.667	0.016	1.2
4400	1.667	0.016	1.2
5200	1.667	0.016	1.2
6000	1.667	0.016	1.2
2000	2.5	0.016	1.2
2800	2.5	0.016	1.2
3600	2.5	0.016	1.2
4400	2.5	0.016	1.2
5200	2.5	0.016	1.2
6000	2.5	0.016	1.2
2000	3.334	0.016	1.2
2800	3.334	0.016	1.2
3600	3.334	0.016	1.2
4400	3.334	0.016	1.2
5200	3.334	0.016	1.2
6000	3.334	0.016	1.2
2000	4.17	0.016	1.2
2800	4.17	0.016	1.2
3600	4.17	0.016	1.2
4400	4.17	0.016	1.2
5200	4.17	0.016	1.2
6000	4.17	0.016	1.2
2000	5	0.016	1.2
2800	5	0.016	1.2
3600	5	0.016	1.2
4400	5	0.016	1.2
5200	5	0.016	1.2
6000	5	0.016	1.2
2000	0.8334	0.022	1.2
2800	0.8334	0.022	1.2
3600	0.8334	0.022	1.2
4400	0.8334	0.022	1.2
5200	0.8334	0.022	1.2
6000	0.8334	0.022	1.2
2000	1.667	0.022	1.2
2800	1.667	0.022	1.2
3600	1.667	0.022	1.2
4400	1.667	0.022	1.2
5200	1.667	0.022	1.2
6000	1.667	0.022	1.2
2000	2.5	0.022	1.2
2800	2.5	0.022	1.2
3600	2.5	0.022	1.2
4400	2.5	0.022	1.2
5200	2.5	0.022	1.2
6000	2.5	0.022	1.2
2000	3.334	0.022	1.2
2800	3.334	0.022	1.2
3600	3.334	0.022	1.2
4400	3.334	0.022	1.2
5200	3.334	0.022	1.2
6000	3.334	0.022	1.2
2000	4.17	0.022	1.2
2800	4.17	0.022	1.2
3600	4.17	0.022	1.2
4400	4.17	0.022	1.2
5200	4.17	0.022	1.2
6000	4.17	0.022	1.2
